DateNo,Imported,TotalLocal,LocalwithLink,LocalwithoutLink,Delay,Date,PropwithoutLink,Class,Period,DailyDelay,TotalLocalAvg,DailyDelayDigit,PropwithoutLinkAvg,LinkwithDelay,DailyDelayDigit2,Delay_NEW,Delay_OLD,AverageDailyLocal,LinkwithoutDelay,PropwithoutLinkAvg,DailyTestOld,DailyTest
20,5,9,4,5,59.61538462,7/7/2020,55.55555556,0,0,75,13.85714286,0.75,21.53846,3,0.75,0.596153846,63.29,13.85714286,1,20,4173,6253
21,5,19,13,6,62.82051282,8/7/2020,31.57894737,0,0,84.61538462,16.14285714,0.846153846,18.94737,11,0.846153846,0.628205128,63.64,16.14285714,2,17.89473684,9373,7293
22,8,34,33,1,63.2183908,9/7/2020,5.882352941,0,0,45.45454545,20.14285714,0.454545455,22.72727,15,0.454545455,0.632183908,67.92,20.14285714,18,20.90909091,9373,8333
23,6,32,27,5,67.64705882,10/7/2020,15.625,0,0,70.37037037,25.85714286,0.703703704,23.66412,19,0.703703704,0.676470588,71.97,25.85714286,8,22.13740458,9373,9373
24,12,16,10,6,70.68965517,11/7/2020,43.75,0,0,70,30.28571429,0.7,26.14379,7,0.7,0.706896552,72.48,30.28571429,3,24.18300654,9373,9373
25,8,30,19,11,79.80769231,12/7/2020,36.66666667,0,0,89.47368421,29.57142857,0.894736842,35.84906,17,0.894736842,0.798076923,72.03,29.57142857,2,34.59119497,9373,9373
26,11,41,27,14,83.33333333,13/07/2020,36.58536585,0,0,88.88888889,33.71428571,0.888888889,41.84397,24,0.888888889,0.833333333,83.22,33.71428571,3,40.42553191,9373,9862
27,8,40,21,19,87.85046729,14/07/2020,47.5,0,0,76.19047619,36.28571429,0.761904762,43.61702,16,0.761904762,0.878504673,87.5,36.28571429,5,43.08510638,9373,10350
28,5,14,7,7,88.79310345,15/07/2020,50,0,0,85.71428571,42.57142857,0.857142857,44.71154,6,0.857142857,0.887931034,88.41,42.57142857,1,44.23076923,11816,10839
29,4,63,33,30,88.23529412,16/07/2020,47.61904762,0,0,93.93939394,50,0.939393939,48.01762,31,0.939393939,0.882352941,86.03,50,2,47.57709251,11816,11328
30,8,50,28,22,87.21804511,17/07/2020,44,0,0,92.85714286,53.42857143,0.928571429,51.30112,26,0.928571429,0.872180451,86.98,53.42857143,2,50.55762082,11816,11816
31,4,60,29,31,89.09090909,18/07/2020,51.66666667,0,0,86.66666667,56,0.866666667,48.90966,25,0.866666667,0.890909091,88.83,56,4,48.4375,11816,11816
32,25,82,34,48,88.62275449,19/07/2020,58.53658537,0,0,77.14285714,68.57142857,0.771428571,47.46835,27,0.771428571,0.886227545,89.34,68.57142857,7,46.98412698,11816,11816
33,7,66,40,26,87.76978417,20/07/2020,39.39393939,0,0,94.87179487,75.28571429,0.902439024,50.27174,37,0.948717949,0.877697842,86.09,75.28571429,3,47.54716981,11816,11424
34,3,58,35,23,88.0733945,21/07/2020,39.65517241,0,0,91.42857143,84.57142857,0.914285714,50,32,0.914285714,0.880733945,83.66,84.57142857,3,46.82926829,11816,11032
35,11,102,45,57,80.95238095,22/07/2020,55.88235294,1,1,91.11111111,94,0.911111111,46.78492,41,0.911111111,0.80952381,82.91,94,4,48.62385321,9856,10640
36,8,110,55,55,80.99173554,23/07/2020,50,1,1,76.36363636,97,0.763636364,46.57534,40,0.763636364,0.809917355,83.98,97,15,46.57836645,9856,10248
37,8,115,65,50,82.05128205,24/07/2020,43.47826087,1,1,77.94117647,107.8571429,0.779411765,44.60432,52,0.779411765,0.820512821,83.72,107.8571429,13,43.88489209,9856,9856
38,7,126,73,53,82.76836158,25/07/2020,42.06349206,1,1,81.08108108,113.5714286,0.810810811,40.84034,59,0.810810811,0.827683616,82.83,113.5714286,14,40.50420168,9856,9856
39,25,103,70,33,83.51648352,26/07/2020,32.03883495,1,1,85.71428571,115,0.857142857,37.73585,58,0.857142857,0.835164835,83.03,115,12,37.56432247,9856,9856
40,4,141,89,52,85.67567568,27/07/2020,36.87943262,1,1,89.65517241,120,0.896551724,35.86207,77,0.896551724,0.856756757,83.81,120,12,36.20689655,9856,10698
41,8,98,66,32,85.82677165,28/07/2020,32.65306122,1,1,81.53846154,120.4285714,0.815384615,35.89316,50,0.815384615,0.858267717,84.16,120.4285714,16,36.33333333,9856,11540
42,5,112,74,38,84.8806366,29/07/2020,33.92857143,1,1,89.18918919,120.1428571,0.891891892,38.11075,61,0.891891892,0.848806366,85.31,120.1428571,13,38.53658537,14067,12383
43,4,145,85,60,84.6361186,30/07/2020,41.37931034,1,1,82.14285714,121.4285714,0.835294118,37.68844,68,0.823529412,0.846361186,84.53,121.4285714,17,37.79264214,14067,13225
44,3,118,66,52,84.27835052,31/07/2020,44.06779661,1,1,80.3030303,112.7142857,0.803030303,36.66121,53,0.803030303,0.842783505,84.09,112.7142857,13,36.4379085,14067,14067
45,1,124,81,43,82.97297297,1/8/2020,34.67741935,1,1,88.88888889,109.4285714,0.888888889,36.44214,71,0.888888889,0.82972973,83.4,109.4285714,10,36.03448276,14067,14067
46,1,112,81,31,81.76291793,2/8/2020,27.67857143,1,1,80.48780488,105.1428571,0.804878049,35.75639,66,0.804878049,0.817629179,82.01,105.1428571,15,35.36345776,14067,14067
47,0,80,55,25,81.26984127,3/8/2020,31.25,1,1,82.14285714,97.42857143,0.839285714,33.61522,46,0.821428571,0.812698413,79.91,97.42857143,9,33.4038055,14067,13767
48,5,75,44,31,76.30662021,4/8/2020,41.33333333,1,1,72.72727273,92.14285714,0.727272727,35.45455,32,0.727272727,0.763066202,79.47,92.14285714,12,34.77272727,14067,13468
49,3,82,53,29,75.19379845,5/8/2020,35.36585366,1,1,78.84615385,84,0.788461538,37.40831,40,0.769230769,0.751937984,76.27,84,13,36.9193154,12569,13168
50,4,91,51,40,72.38493724,6/8/2020,43.95604396,1,1,66.03773585,77,0.660377358,39.89899,34,0.660377358,0.723849372,75.15,77,17,39.64646465,12569,12868
51,8,81,53,28,72.88135593,7/8/2020,34.56790123,1,1,77.35849057,75.14285714,0.773584906,38.80208,41,0.773584906,0.728813559,73.01,75.14285714,12,38.54166667,12569,12569
52,2,67,37,30,71.42857143,8/8/2020,44.7761194,1,1,67.56756757,69,0.675675676,37.94038,25,0.675675676,0.714285714,72.82,69,12,37.39837398,12569,12569
53,9,63,41,22,72.68041237,9/8/2020,34.92063492,1,1,75.6097561,66,0.756097561,37.74194,31,0.756097561,0.726804124,74.1,66,10,37.41935484,12569,12569
54,2,67,47,20,75.72254335,10/8/2020,29.85074627,1,1,70.21276596,62.28571429,0.70212766,40.68966,33,0.70212766,0.757225434,76.45,62.28571429,14,40.34482759,12569,11620
55,1,32,15,17,78.57142857,11/8/2020,53.125,1,1,68.75,57.28571429,0.6875,42.01389,11,0.6875,0.785714286,70.66,57.28571429,4,41.66666667,12569,10671
56,1,61,32,29,70.55214724,12/8/2020,47.54098361,1,1,96.875,53.28571429,0.96875,40.2214,31,0.96875,0.705521472,71.74,53.28571429,1,39.85239852,7825,9722
57,4,65,32,33,71.63120567,13/08/2020,50.76923077,1,1,81.25,54.28571429,0.8125,41.97531,26,0.8125,0.716312057,68.6,54.28571429,6,41.97530864,7825,8774
58,2,46,36,10,72,14/08/2020,21.73913043,1,1,38.88888889,49.14285714,0.388888889,36.29893,14,0.388888889,0.72,66.51,49.14285714,22,40.75829384,7825,7825
59,7,38,25,13,63.44086022,15/08/2020,33.33333333,1,1,76,49.57142857,0.76,33.46614,19,0.76,0.634408602,66.23,49.57142857,6,38,7825,7825
